state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Odisha,Jajpur,56933.0,25515.0,49.0,Safe
Odisha,Jharsuguda,16791.0,3590.0,31.0,Safe
Odisha,Kalahandi,74911.0,10619.0,20.0,Safe
Odisha,Kandhamal,70266.0,7071.0,13.0,Safe
Odisha,Kendrapara,16781.0,8917.0,57.0,Safe
Odisha,Keonjhar,81323.0,18894.0,29.0,Safe
Odisha,Khurda,47618.0,10478.0,33.0,Safe
Odisha,Koraput,69117.0,3362.0,10.0,Safe
Odisha,Malkangiri,33598.0,1858.0,9.0,Safe
Odisha,Mayurbhanj,148194.0,37272.0,30.0,Safe
Odisha,Nabarangapur,50478.0,4606.0,15.0,Safe
Odisha,Nayagarh,42682.0,8293.0,24.0,Safe
Odisha,Nuapada,33686.0,5511.0,21.0,Safe
Odisha,Puri,58806.0,9039.0,21.0,Safe
Odisha,Rayagada,65681.0,6944.0,15.0,Safe
Odisha,Sambalpur,52520.0,5941.0,16.0,Safe
Odisha,Subarnapur,21429.0,2970.0,20.0,Safe
Odisha,Sundergarh,77325.0,12471.0,22.0,Safe
Punjab,Amritsar,123365.0,217150.0,180.0,Over-Exploited
Punjab,Barnala,58939.0,118878.0,204.0,Over-Exploited
